NAME    LJ_WDEPTH   LJ_RADIUS   LJ_3B_WDEPTH    LJ_3B_RADIUS
# Rosetta atom_properties file
# Generated using itp_to_param.py
# Original file: terphenyl_pmp_octamer.top
# Author: tfobe
# Date: Thursday, 30. June 2022
# Time: 06:55PM
# System: Linux-5.14.0-1042-oem-x86_64-with-glibc2.31
h55  -0.06532   1.44381  -0.06532   1.44381
h56  -0.06532   1.44381  -0.06532   1.44381
h57  -0.06532   1.44381  -0.06532   1.44381
h58  -0.06532   1.44381  -0.06532   1.44381
h59  -0.06532   1.44381  -0.06532   1.44381
h60  -0.06532   1.44381  -0.06532   1.44381
h61  -0.06532   1.44381  -0.06532   1.44381
h62  -0.06532   1.44381  -0.06532   1.44381
h63  -0.06532   1.44381  -0.06532   1.44381
h64  -0.06532   1.44381  -0.06532   1.44381
c170 -0.45539    1.8967  -0.45539    1.8967
h65  -0.06866   1.44979  -0.06866   1.44979
h66  -0.05896   0.61928  -0.05896   0.61928
h67  -0.06532   1.44381  -0.06532   1.44381
o17  -0.70486   1.69778  -0.70486   1.69778
h68  -0.06532   1.44381  -0.06532   1.44381
h69  -0.06532   1.44381  -0.06532   1.44381
h70  -0.06532   1.44381  -0.06532   1.44381
h71  -0.06532   1.44381  -0.06532   1.44381
h72  -0.06532   1.44381  -0.06532   1.44381
h73  -0.06532   1.44381  -0.06532   1.44381
h74  -0.06532   1.44381  -0.06532   1.44381
h75  -0.06532   1.44381  -0.06532   1.44381
h76  -0.06532   1.44381  -0.06532   1.44381
h77  -0.06532   1.44381  -0.06532   1.44381
c171 -0.45539    1.8967  -0.45539    1.8967
h78  -0.06866   1.44979  -0.06866   1.44979
h79  -0.05896   0.61928  -0.05896   0.61928
h80  -0.06532   1.44381  -0.06532   1.44381
o18  -0.70486   1.69778  -0.70486   1.69778
h81  -0.06532   1.44381  -0.06532   1.44381
h82  -0.06532   1.44381  -0.06532   1.44381
h83  -0.06532   1.44381  -0.06532   1.44381
h84  -0.06532   1.44381  -0.06532   1.44381
h85  -0.06532   1.44381  -0.06532   1.44381
h86  -0.06532   1.44381  -0.06532   1.44381
h87  -0.06532   1.44381  -0.06532   1.44381
h88  -0.06532   1.44381  -0.06532   1.44381
h89  -0.06532   1.44381  -0.06532   1.44381
h90  -0.06532   1.44381  -0.06532   1.44381
c172 -0.45539    1.8967  -0.45539    1.8967
h91  -0.06866   1.44979  -0.06866   1.44979
h92  -0.05896   0.61928  -0.05896   0.61928
h93  -0.06532   1.44381  -0.06532   1.44381
o19  -0.70486   1.69778  -0.70486   1.69778
h94  -0.06532   1.44381  -0.06532   1.44381
h95  -0.06532   1.44381  -0.06532   1.44381
h96  -0.06532   1.44381  -0.06532   1.44381
h97  -0.06532   1.44381  -0.06532   1.44381
h98  -0.06532   1.44381  -0.06532   1.44381
h99  -0.06532   1.44381  -0.06532   1.44381
h100 -0.06532   1.44381  -0.06532   1.44381
h101 -0.06532   1.44381  -0.06532   1.44381
h102 -0.06532   1.44381  -0.06532   1.44381
h103 -0.06532   1.44381  -0.06532   1.44381
h104 -0.06866   1.44979  -0.06866   1.44979
c173 -0.45539    1.8967  -0.45539    1.8967
h105 -0.05896   0.61928  -0.05896   0.61928
h106 -0.06602    1.4842  -0.06602    1.4842
h107 -0.06602    1.4842  -0.06602    1.4842
h108 -0.06602    1.4842  -0.06602    1.4842
h109 -0.06602    1.4842  -0.06602    1.4842
h110 -0.06602    1.4842  -0.06602    1.4842
h111 -0.06602    1.4842  -0.06602    1.4842
h112 -0.06602    1.4842  -0.06602    1.4842
h113 -0.06602    1.4842  -0.06602    1.4842
h114 -0.06602    1.4842  -0.06602    1.4842
h115 -0.06866   1.44979  -0.06866   1.44979
h116 -0.06866   1.44979  -0.06866   1.44979
h117 -0.06866   1.44979  -0.06866   1.44979
h118 -0.06602    1.4842  -0.06602    1.4842
h119 -0.06602    1.4842  -0.06602    1.4842
h120 -0.06602    1.4842  -0.06602    1.4842
h121 -0.06602    1.4842  -0.06602    1.4842
h122 -0.06602    1.4842  -0.06602    1.4842
h123 -0.06602    1.4842  -0.06602    1.4842
h124 -0.06602    1.4842  -0.06602    1.4842
h125 -0.06602    1.4842  -0.06602    1.4842
h126 -0.06602    1.4842  -0.06602    1.4842
h127 -0.06602    1.4842  -0.06602    1.4842
h128 -0.06602    1.4842  -0.06602    1.4842
h129 -0.06602    1.4842  -0.06602    1.4842
h130 -0.06602    1.4842  -0.06602    1.4842
h131 -0.06602    1.4842  -0.06602    1.4842
h132 -0.06602    1.4842  -0.06602    1.4842
h133 -0.06602    1.4842  -0.06602    1.4842
h134 -0.06602    1.4842  -0.06602    1.4842
h135 -0.06602    1.4842  -0.06602    1.4842
h136 -0.06866   1.44979  -0.06866   1.44979
h137 -0.06866   1.44979  -0.06866   1.44979
h138 -0.06866   1.44979  -0.06866   1.44979
h139 -0.06602    1.4842  -0.06602    1.4842
h140 -0.06602    1.4842  -0.06602    1.4842
h141 -0.06602    1.4842  -0.06602    1.4842
c174 -0.45539    1.8967  -0.45539    1.8967
c175 -0.45539    1.8967  -0.45539    1.8967
c176 -0.45539    1.8967  -0.45539    1.8967
c177 -0.45539    1.8967  -0.45539    1.8967
c178 -0.45539    1.8967  -0.45539    1.8967
c179 -0.45539    1.8967  -0.45539    1.8967
c180 -0.45539    1.8967  -0.45539    1.8967
c181 -0.45539    1.8967  -0.45539    1.8967
h142 -0.06866   1.44979  -0.06866   1.44979
h143 -0.06866   1.44979  -0.06866   1.44979
h144 -0.06866   1.44979  -0.06866   1.44979
h145 -0.06866   1.44979  -0.06866   1.44979
h146 -0.06866   1.44979  -0.06866   1.44979
h147 -0.06866   1.44979  -0.06866   1.44979
h148 -0.06866   1.44979  -0.06866   1.44979
h149 -0.06866   1.44979  -0.06866   1.44979
h150 -0.06866   1.44979  -0.06866   1.44979
h151 -0.06866   1.44979  -0.06866   1.44979
h152 -0.06866   1.44979  -0.06866   1.44979
h153 -0.06866   1.44979  -0.06866   1.44979
h154 -0.06866   1.44979  -0.06866   1.44979
h155 -0.06866   1.44979  -0.06866   1.44979
h156 -0.06866   1.44979  -0.06866   1.44979
h157 -0.06866   1.44979  -0.06866   1.44979
h158 -0.06866   1.44979  -0.06866   1.44979
h159 -0.06866   1.44979  -0.06866   1.44979
h160 -0.06866   1.44979  -0.06866   1.44979
h161 -0.06866   1.44979  -0.06866   1.44979
c182 -0.45539    1.8967  -0.45539    1.8967
h162 -0.06602    1.4842  -0.06602    1.4842
h163 -0.06602    1.4842  -0.06602    1.4842
h164 -0.06602    1.4842  -0.06602    1.4842
